trees,OOB,real,fake
1,0.3222354340071344,0.3287671232876712,0.31561302681992337
2,0.3334319526627219,0.3279316440777843,0.3389780154486037
3,0.3291984732824427,0.3140949201049368,0.3443092340730136
4,0.3165269079715529,0.29549778059606846,0.33773987206823025
5,0.3077690236361823,0.2827860696517413,0.3328668532586965
6,0.3018453006979635,0.27557251908396946,0.3282237976623874
7,0.29201563372417644,0.26797992938115595,0.31612301957129546
8,0.28864656831302116,0.25905598243688255,0.31834037084633743
9,0.2864275987290059,0.2619263558860874,0.3109778262450018
10,0.2793109668109668,0.2553114872164206,0.3033971810625226
11,0.2714028776978417,0.24676724137931033,0.2961095100864553
12,0.26480086114101187,0.2383939774153074,0.2912551625067337
13,0.26063972762297283,0.23173352435530087,0.28958221265913575
14,0.25378211440336584,0.2225604297224709,0.2849982098102399
15,0.250402576489533,0.22397137745974954,0.27684323550465284
16,0.24754069039527812,0.22156652360515022,0.2735241502683363
17,0.2471829726345913,0.21834763948497854,0.27602862254025046
18,0.24139472507822976,0.20954764884677274,0.2732474964234621
19,0.23831232680790204,0.20472018594671912,0.2718984626385413
20,0.2321237039685377,0.19967822667143367,0.2645691812656418
21,0.22667143367894171,0.19681801930639972,0.25652484805148373
22,0.22783339292098678,0.19342152306042187,0.26224526278155164
23,0.22720772255988558,0.19342152306042187,0.2609939220593493
24,0.21934215230604218,0.1841258491240615,0.25455845548802286
25,0.21925277082588487,0.183410797282803,0.25509474436896673
26,0.21809081158383983,0.1801930639971398,0.25598855917053986
27,0.21558813013943512,0.17983553807651054,0.25134072220235965
28,0.21424740793707545,0.17751161959242046,0.25098319628173044
29,0.21031462281015373,0.17214873078298176,0.2484805148373257
30,0.21031462281015373,0.1716124419020379,0.24901680371826956
31,0.20942080800858062,0.1707186271004648,0.24812298891669646
32,0.20754379692527708,0.17089739006077942,0.24419020378977477
33,0.20816946728637825,0.16982481229889168,0.24651412227386485
34,0.20495173400071506,0.16642831605291383,0.24347515194851627
35,0.20173400071505185,0.161601716124419,0.24186628530568466
36,0.20253843403646765,0.16356810868787988,0.24150875938505542
37,0.1999463711119056,0.1623167679656775,0.2375759742581337
38,0.19789059706828746,0.1598140865212728,0.2359671076153021
39,0.19887379335001787,0.1582052198784412,0.23954236682159458
40,0.19797997854844476,0.1574901680371827,0.23846978905970684
41,0.19610296746514122,0.1544511977118341,0.23775473721844834
42,0.19494100822309618,0.15462996067214874,0.23525205577404362
43,0.19413657490168038,0.1528423310690025,0.23543081873435825
44,0.194315337861995,0.15409367179120487,0.23453700393278512
45,0.19163389345727566,0.14962459778333928,0.23364318913121201
46,0.19422595638183768,0.15176975330711476,0.2366821594565606
47,0.19234894529853414,0.15212727922774402,0.23257061136932428
48,0.19100822309617446,0.15051841258491241,0.23149803360743654
49,0.1919020378977476,0.15087593850554165,0.2329281372899535
50,0.18895244905255631,0.1449767608151591,0.2329281372899535
51,0.18993564533428672,0.14587057561673222,0.23400071505184125
52,0.18913121201287092,0.14336789417232748,0.23489452985341439
53,0.19091884161601716,0.14622810153736146,0.23560958169467286
54,0.19136574901680373,0.14765820521987844,0.235073292813729
55,0.19020378977475866,0.14426170897390062,0.23614587057561673
56,0.188863067572399,0.14426170897390062,0.23346442617089738
57,0.18904183053271362,0.1456918126564176,0.23239184840900964
58,0.187432963889882,0.142652842331069,0.23221308544869504
59,0.1881480157311405,0.14408294601358598,0.23221308544869504
60,0.1864497676081516,0.1410439756882374,0.23185555952806577
61,0.18770110833035394,0.1417590275294959,0.23364318913121201
62,0.1866285305684662,0.14068644976760816,0.23257061136932428
63,0.18868430461208438,0.14318913121201288,0.23417947801215588
64,0.18770110833035394,0.14158026456918127,0.23382195209152665
65,0.1864497676081516,0.13800500536288882,0.23489452985341439
66,0.18555595280657847,0.13800500536288882,0.23310690025026815
67,0.18484090096532,0.13693242760100108,0.2327493743296389
68,0.18537718984626386,0.13746871648194495,0.23328566321058278
69,0.1858240972470504,0.13675366464068645,0.23489452985341439
70,0.18358956024311762,0.13460850911691097,0.23257061136932428
71,0.18466213800500536,0.13425098319628173,0.235073292813729
